,"word","type","part_of_speech","comment"
792,"tcmsp","content","noun","Traditional Chinese Medicine Systems Pharmacology"
793,"techniques","style","noun",
794,"telehealth","content","noun",
795,"telemedicine","content","noun",
796,"telerehabilitation","content","noun",
797,"their","style","pronoun",
798,"therapeutic","content","adjective",
799,"therapeutical","content","adjective",
800,"thereby","style","adverb",
801,"these","style","pronoun",
802,"this","style","pronoun",
803,"thorough","style","adjective",
804,"through","style","preposition",
805,"timepoint","content","noun",
806,"timer","content","noun","Tumor IMmune Estimation Resource"
807,"tirzepatide","content","noun",
808,"tmax","content","noun","time to maximum concentration"
809,"tmds","content","noun","temporomandibular disorders"
810,"tocilizumab","content","noun",
811,"tofacitinib","content","noun",
812,"trainings","content","noun",
813,"transformative","style","adjective",
814,"transformer","content","noun",
815,"transformers","content","noun",
816,"transgender","content","adjective",
817,"transitioning","content","verb","different uses"
818,"transmissibility","content","noun",
819,"transwell","content","noun","wetlab device"
820,"treatment","content","noun",
821,"triaging","content","noun",
822,"trinetx","content","noun","TriNetX is a self-service web-based data exploration tool"
823,"trna","content","noun","transport RNA"
824,"trustworthy","content","adjective","trustworthy AI"
825,"tweets","content","noun",
826,"twitter","content","noun",
827,"typically","style","adverb",
828,"ukrainian","content","adjective",
829,"ultimately","style","adverb",
830,"uncharted","style","adjective",
831,"uncovering","style","verb",
832,"underexplored","style","verb",
833,"underscore","style","verb",
834,"underscored","style","verb",
835,"underscores","style","verb",
836,"underscoring","style","verb",
837,"understanding","style","verb",
838,"unexplored","style","adjective",
839,"unlocking","style","verb",
840,"unparalleled","style","adjective",
841,"unraveling","style","verb",
842,"unvaccinated","content","verb",
843,"unveil","style","verb",
844,"unveiled","style","verb",
845,"unveiling","style","verb",
846,"unveils","style","verb",
847,"upadacitinib","content","noun",
848,"uphold","style","verb",
849,"upholding","style","verb",
850,"urging","style","verb",
851,"using","style","verb",
852,"utilized","style","verb",
853,"utilizes","style","verb",
854,"utilizing","style","verb",
855,"vaccinate","content","verb",
856,"vaccinated","content","verb",
857,"vaccination","content","noun",
858,"vaccinations","content","noun",
859,"vaccine","content","noun",
860,"vaccinees","content","noun",
861,"vaccines","content","noun",
862,"valuable","style","adjective",
863,"vaping","content","noun",
864,"variations","content","noun","can be used in various contexts, but usually has technical meaning"
865,"various","style","adjective",
866,"varying","style","verb",
867,"vemurafenib","content","noun",
868,"ventilation","content","noun",
869,"ventilators","content","noun",
870,"verifies","style","verb",
871,"versatility","style","noun",
872,"videoconferencing","content","noun",
873,"vigilant","content","adjective","doctors being vigilant about some condition"
874,"viral","content","adjective",
875,"vmax","content","noun","maximum velocity"
876,"vosviewer","content","noun","VOSViewer is a software tool which can be used to conduct bibliometric analyses and create visualizations from selected database"
877,"wandering","style","verb",
878,"wanfang","content","noun","Wanfang Data has been a leading information content and service provider in China"
879,"waning","content","adjective","waning immunity"
880,"warranting","style","verb",
881,"wearable","content","adjective",
882,"welded","content","adjective","welded joints"
883,"were","style","verb",
884,"wgcna","content","noun","Weighted correlation network analysis, also known as weighted gene co-expression network analysis"
885,"whatsapp","content","noun",
886,"while","style","preposition",
887,"whiteness","content","noun","about race"
888,"within","style","adverb",
889,"workers","content","noun","relates to covid"
890,"worried","content","verb","relates to covid (anxiety)"
891,"worries","content","verb","related to covid"
892,"wuhan","content","noun","covid related"
893,"xgboost","content","noun","ML model"
894,"yielding","style","verb",
895,"yolo","content","noun","""you only look once"", ML algorithm for object detection"
896,"youtube","content","noun","studies talking about youtube"
897,"zika","content","noun","virus"
898,"zikv","content","noun","virus"
899,"zoom","content","noun","related to covid, zoom the videocalling platform"
